source,kind,file,line,category,title,class,distance,note
studies/2026-09-coverage-spike/raw/correctness.md,real,core/skills/review-pro-verify/SKILL.md,16,correctness.logic,"Deleted files are re-read from the base branch tip, not from the merge",NEAR,3,nearest match line 19
studies/2026-09-coverage-spike/raw/correctness.md,real,core/agents/review-pro-synthesize-subagent.md,13,correctness.side-effect,The synthesize subagent now accepts verification results but still re-,EXACT,0,
studies/2026-09-coverage-spike/raw/craft.md,real,scripts/validate.sh,12,craft.code-judo,"New ""verifier"" manifest role is read by nothing; stage membership stay",EXACT,0,
studies/2026-09-coverage-spike/raw/craft.md,real,scripts/validate.test.sh,1134,craft.code-judo,"Every new phrase pin is written again by hand as a mutation line, and ",ELSEWHERE,58,nearest match line 1192
studies/2026-09-coverage-spike/raw/craft.md,real,core/skills/review-pro/SKILL.md,64,craft.boundary,The report template is kept in both the orchestrator and synthesis ski,EXACT,0,
studies/2026-09-coverage-spike/raw/tests.md,real,scripts/validate.sh,199,tests.coverage,The re-merge guard fails open when the handoff line is reworded or del,EXACT,0,
studies/2026-09-coverage-spike/raw/tests.md,real,scripts/validate.sh,201,tests.coverage,The second alternative of the numbered-synthesize-step regex is never ,EXACT,0,
studies/2026-09-coverage-spike/raw/tests.md,real,scripts/validate.sh,226,tests.coverage,The `refuted | yes` row of the resolution table is not guarded or test,NOWHERE,,
studies/2026-09-refuting-verifier/acceptance/e2e/raw/A-craft.md,real,tests/Aspire.Cli.EndToEnd.Tests/Helpers/CliE2EAutomatorHelpers.cs,34,craft.code-judo,The run startup budget is split into three public members that callers,EXACT,0,
studies/2026-09-refuting-verifier/acceptance/e2e/raw/A-craft.md,real,tests/Aspire.Cli.EndToEnd.Tests/BundleSmokeTests.cs,97,craft.boundary,AspireRunReadyTimeout is applied to `dotnet run` launches that never s,EXACT,0,
studies/2026-09-refuting-verifier/acceptance/e2e/raw/A-tests.md,real,tests/Aspire.Cli.EndToEnd.Tests/Helpers/CliE2EAutomatorHelpers.cs,41,tests.assertion,"The ready waits never check for the CLI's own startup timeout, so the ",EXACT,0,
